,pIC50,preprocessed_smiles,molecular_weight,n_hba,n_hbd,logp,Lipinski_pass
0,9.522878745280336,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,403.14851113199995,5,1,3.942700000000003,True
1,8.958607314841775,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,361.240564612,2,1,4.844800000000005,True
2,8.958607314841775,CC(C)(C)[C@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,361.240564612,2,1,4.844800000000005,True
3,8.896196279044043,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,395.20090529199996,4,1,3.217100000000001,True
4,8.831502516476966,CC(C)[C@@]1(NC(=O)C2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,611.310769412,6,3,2.717200000000001,True
5,8.800793520838342,CC(C)CC1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,653.2212814800001,6,3,3.192800000000001,True
6,8.791558643561432,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,437.17486811199996,5,1,4.308100000000003,True
7,8.769551078621726,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,426.195317004,3,1,4.335500000000003,True
8,8.744727494896694,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CC(C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,583.217463284,6,3,5.755900000000005,False
9,8.73754891026957,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,346.08509785999996,4,2,2.9217000000000013,True
10,8.709965388637482,CC(C)CC1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,575.310769412,6,3,2.4303,True
11,8.698970004336019,Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,360.116004064,2,0,4.919100000000004,True
12,8.67778070526608,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,273.08234972,2,1,2.01,True
13,8.61852390972497,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,379.16960516399996,4,1,3.6784000000000026,True
14,8.577246058698652,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,425.161852688,5,2,3.353200000000002,True
15,8.543633966870956,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,338.210661452,2,2,2.841400000000001,True
16,8.455931955649724,COc1ccccc1N1CCN(CCCCCN2Cc3ccc4ccccc4c3C2=O)CC1,443.257277296,4,0,4.796700000000005,True
17,8.42021640338319,ON=Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,461.13853040000004,7,1,4.430400000000004,True
18,8.400116927926312,COc1ccccc1N1CCN(CCCCCCNC(=O)OC(C)(C)C)CC1,391.28349204399996,5,1,3.902300000000003,True
19,8.397940008672037,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.140134876,3,1,4.425600000000004,True
20,8.39254497678533,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,401.13286106799995,4,1,4.530100000000004,True
21,8.387216143280265,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,393.221640736,4,0,3.9165000000000036,True
22,8.366531544420413,CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,581.2638192200001,6,3,1.990800000000002,True
23,8.301029995663981,Oc1cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[nH]1,412.112459972,5,2,4.501300000000004,True
24,8.301029995663981,COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,356.16554110000004,3,0,4.274300000000004,True
25,8.301029995663981,COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,322.20451345199996,3,0,3.6209000000000024,True
26,8.301029995663981,Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,326.154976416,2,0,4.2657000000000025,True
27,8.298259367562787,CC(C)C1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)C3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,561.295119348,6,3,2.040199999999999,True
28,8.154901959985743,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,416.141531844,4,2,3.189000000000002,True
29,8.154901959985743,COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,390.126568748,3,0,4.927700000000004,True
30,8.051587034221399,CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,583.2794692840001,6,3,2.0811000000000024,True
31,8.050609993355087,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,361.240564612,2,1,4.844800000000005,True
